quarter_day_label,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_9,q1_10,q1_11,q1_12,q1_13,q1_14,q1_15,q1_16,q1_17,q1_18,q1_19,q1_20,q1_21,q1_22,q1_23,q1_24,q1_25,q1_26,q1_27,q1_28,q1_29,q1_30,q1_31,q1_32,q1_33,q1_34,q1_35,q1_36,q1_37,q1_38,q1_39,q1_40,q1_41,q1_42,q1_43,q1_44,q1_45,q1_46,q1_47,q1_48,q1_49,q1_50,q1_51,q1_52,q1_53,q1_54,q1_55,q1_56,q1_57,q1_58,q1_59,q1_60,q1_61,q1_62,q1_63,q1_64,q1_65,q1_66,q1_67,q1_68,q1_69,q1_70,q1_71,q1_72,q1_73,q1_74,q1_75,q1_76,q1_77,q1_78,q1_79,q1_80,q1_81,q1_82,q1_83,q1_84,q1_85,q1_86,q1_87,q1_88,q1_89,q1_90,q1_91,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q2_8,q2_9,q2_10,q2_11,q2_12,q2_13,q2_14,q2_15,q2_16,q2_17,q2_18,q2_19,q2_20,q2_21,q2_22,q2_23,q2_24,q2_25,q2_26,q2_27,q2_28,q2_29,q2_30,q2_31,q2_32,q2_33,q2_34,q2_35,q2_36,q2_37,q2_38,q2_39,q2_40,q2_41,q2_42,q2_43,q2_44,q2_45,q2_46,q2_47,q2_48,q2_49,q2_50,q2_51,q2_52,q2_53,q2_54,q2_55,q2_56,q2_57,q2_58,q2_59,q2_60,q2_61,q2_62,q2_63,q2_64,q2_65,q2_66,q2_67,q2_68,q2_69,q2_70,q2_71,q2_72,q2_73,q2_74,q2_75,q2_76,q2_77,q2_78,q2_79,q2_80,q2_81,q2_82,q2_83,q2_84,q2_85,q2_86,q2_87,q2_88,q2_89,q2_90,q2_91,q2_92,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q3_9,q3_10,q3_11,q3_12,q3_13,q3_14,q3_15,q3_16,q3_17,q3_18,q3_19,q3_20,q3_21,q3_22,q3_23,q3_24,q3_25,q3_26,q3_27,q3_28,q3_29,q3_30,q3_31,q3_32,q3_33,q3_34,q3_35,q3_36,q3_37,q3_38,q3_39,q3_40,q3_41,q3_42,q3_43,q3_44,q3_45,q3_46,q3_47,q3_48,q3_49,q3_50,q3_51,q3_52,q3_53,q3_54,q3_55,q3_56,q3_57,q3_58,q3_59,q3_60,q3_61,q3_62,q3_63,q3_64,q3_65,q3_66,q3_67,q3_68,q3_69,q3_70,q3_71,q3_72,q3_73,q3_74,q3_75,q3_76,q3_77,q3_78,q3_79,q3_80,q3_81,q3_82,q3_83,q3_84,q3_85,q3_86,q3_87,q3_88,q3_89,q3_90,q3_91,q3_92
tax_effect_of_unusual_items,-92628,-86829,-75074,-79744,-93119,-83990,-72336,-72778,-65196,-72797,-77334,"-71,438.00","-89,418.00",-62615,-92183,-81452,-66696,-66978,-73042,-90031,-64674,-87583,-87795,-68081,-80920,-63668,-73007,-81741,-80012,-77110,-63344,-87933,-67898,-87905,-86527,-77188,-73297,-85540,-78129,-88728,-77344,-82052,-89137,-74976,-88585,-84260,-74084,-75350,-87012,-71508,-63542,-85885,-90110,-86438,-85230,-87020,-68122,-78467,-85961,-78825,-72296,-68387,-71089,-78512,-79758,-73939,-76157,-70370,-89462,-82132,-83775,-70791,-69150,-66627,-78596,-92839,-83035,-92209,-93258,-66007,-83842,-78124,-79551,-63219,-65347,-85527,-65089,-75876,-72483,-66447,-74484,-14935,-14420,-15245,-13882,-10657,-14735,-15040,-13205,-11368,-12005,-12493,-12979,-11058,-15483,-12731,-10972,-12865,-13935,-14199,-11882,-11736,-14907,-14969,-13055,-11754,-13477,-14894,-12243,-14604,-12975,-11059,-13900,-14217,-12298,-15636,-10641,-11809,-12800,-10841,-11077,-14015,-11564,-13118,-12980,-13699,-11337,-11016,-10529,-12136,-13597,-12943,-14031,-11689,-15507,-13914,-13305,-10882,-11635,-14331,-15563,-14125,-13473,-13688,-10483,-11636,-13478,-12601,-14637,-11849,-12459,-14108,-11510,-11973,-15261,-13160,-14186,-14253,-12837,-10876,-12598,-11254,-14565,-11550,-15561,-12287,-14227,-15008,-15442,-14943,-14961,-10846,-10771,-23415,-20799,-21201,-22575,-17449,-18596,-17378,-21158,-18285,-21829,-24836,-20010,-17288,-17558,-19071,-19978,-23097,-24724,-20261,-21540,-24015,-21580,-19452,-20788,-19448,-18618,-24016,-19140,-18165,-23360,-18169,-18259,-20875,-21151,-24014,-20245,-18313,-19442,-25242,-22025,-18303,-18237,-17351,-22364,-25174,-24505,-25057,-24873,-19455,-18060,-24232,-18129,-18596,-23939,-22792,-21250,-25122,-21611,-21473,-23883,-19144,-24129,-24373,-18365,-23486,-24864,-18868,-20519,-17059,-18835,-18041,-25164,-23064,-24180,-17841,-18158,-23140,-24997,-20248,-24738,-22612,-19610,-17697,-22915,-21247,-20581,-17364,-22588,-21463,-23010,-20692,-15048
reconciled_depreciation,249593,295426,284126,255778,298705,257857,222372,278122,215063,266066,278094,"217,032.00","250,822.00",227199,245155,292802,"294,937.00","213,095.00","276,577.00",293939,237555,298620,241164,256117,286004,265325,270060,241926,246663,314692,287473,294940,234595,312651,254236,280464,218929,260897,249859,219703,274188,257188,297638,234413,270613,310080,267628,222734,235248,285454,260384,286999,275923,302049,267557,245558,213614,256307,285799,271592,232606,318069,286507,279854,277504,304625,287448,265336,261627,309467,242138,256952,221233,285317,299770,272825,318329,272239,311954,310174,259926,260847,297123,293913,280224,215237,228484,266229,273648,223645,144951,400671,329125,383146,335916,329972,305750,407057,312872,326565,389172,343912,390777,340126,367344,318664,322686,362753,399959,361065,376586,331909,291260,421645,385762,360950,401378,387387,318063,394965,420069,328101,369656,293856,386751,324050,355759,418046,338199,318146,411050,347654,350832,380957,362918,333139,383965,424182,349620,392362,287019,334931,326101,308260,372856,374365,398828,304456,375931,411975,415053,317402,306037,349826,362189,318293,307296,406025,401361,420087,402373,388707,287681,320325,382518,363608,429181,334403,344239,338152,363528,420864,360079,396571,296853,350913,306356,296690,307252,317709,427979,402001,316428,620493,569187,718762,581816,712460,803526,648815,812322,618554,810310,672795,735342,"764,445.00",768062,563470,"727,950.00",673005,"625,496.00","795,845.00",573847,593210,629076,750840,718512,665841,751677,736863,830232,616538,579777,595545,570232,828250,617198,696468,642510,583433,744922,622071,709681,736731,616279,620604,648750,782136,639100,592254,641169,828399,606322,593215,589956,654210,652817,607904,834855,644292,652115,562686,637627,827608,697195,783303,755445,764817,568763,732473,778729,771443,625695,805437,740238,813546,686906,624143,602986,675321,695972,737191,624462,785306,731304,812859,652658,683840,717615,583314,684132,699633,732228,662322,1777417
reconciled_cost_of_revenue,726156,617270,550131,609768,628772,614452,576283,525452,563534,672402,667271,"539,301.00","673,923.00",692266,594153,513992,637347,556750,566100,673723,518157,565665,602369,680584,630901,579868,658854,639841,636235,722413,687320,498473,572763,489703,600864,517080,582502,670806,605217,646327,665247,614609,650509,617818,667632,620049,554052,498528,513051,710427,600225,504173,589365,715406,491634,720726,636461,496034,622128,710276,497335,551736,616378,688025,611948,684168,497341,591082,529910,520680,574395,498642,645383,675259,502853,643609,716803,496994,620804,677244,682583,555629,563804,503068,679669,541448,715162,639112,525961,613993,725244,606075,584728,504457,413875,602528,465003,542928,509125,492731,608502,423050,514108,418925,498330,542275,457334,477108,514263,506452,440172,437612,439730,467456,408130,526441,496406,585090,535479,543956,428420,566579,554224,490693,480158,426271,519677,422552,599865,531773,566714,496196,477142,421273,514213,602519,469376,572047,445897,539260,551691,568711,426334,545801,493754,453163,577124,461891,409774,432372,575632,430395,433391,512537,440403,581478,549580,435585,578532,571991,543895,431129,481134,525952,573035,481537,479652,598799,456821,574872,550624,441860,443087,466042,556252,418889,421119,549577,418364,599882,523863,441096,990662,669495,693422,564553,704454,520389,573055,649931,496039,542938,618509,561391,580176,595817,623683,641392,612848,645824,570004,611106,708447,709109,510764,700131,708657,578902,598123,512496,489328,542571,486271,705162,663474,541273,679169,690017,634522,503480,486656,620432,511847,477780,653234,530043,523066,491508,651395,581700,513409,581179,700553,605141,672959,553834,523815,559753,702936,651515,633292,578869,622363,482874,645836,684767,564452,684494,635118,704571,661759,661313,535118,596734,663326,624487,506057,499743,662730,664930,482708,672181,496402,510151,706735,678462,582796,581133,581931,625793,520602,506575,593623,695095,328903
net_interest_income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40020,40020,40020,40020,40020,40020,40020,40020,40020,40020,40020,40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45241,45241,45241,45241,45241,45241,45241,45241,45241,45241,0,0,0,0,0,0,0
interest_income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_expenses,1105282,998330,1145334,850817,931185,1091206,1130528,835588,1141611,917951,889585,"940,937.00","962,221.00",992638,1105237,1044678,1058202,1143783,901620,892581,1198657,1119700,977090,844866,931735,1008856,1123149,912460,1030727,1190562,1167460,806231,864544,975619,896866,1191461,839878,957510,975163,1033119,826326,1122648,933865,1165839,982349,944784,863939,897202,994059,1203677,836412,1185083,1149260,1022110,1201221,966099,1120743,876661,1026074,955617,1142949,881536,1155518,1011786,896412,1039563,922679,898015,980786,1057919,1205308,1026301,890440,847221,1005380,1053534,1028564,820985,1055711,1062023,846203,1198919,1133326,982207,815720,843464,828630,1124161,1177622,820383,1421150,1082838,882085,1210255,1001894,1179859,1070335,967474,1027938,1195975,1046099,1218150,1078835,862995,1202126,975483,934866,990391,1263986,1192284,1152214,1209439,877723,1017038,967425,1015519,1024633,992277,1058075,1078477,1176404,1239085,1221054,1053502,965957,1152468,1006845,960481,1089193,1061501,961326,936914,1187634,1211005,1270349,989237,895153,1113675,943008,858962,900364,1141184,930114,948214,1094276,1118334,930089,1061561,901119,1169041,866137,1055494,1060441,930918,998072,1094653,1025378,1077545,1199039,1146934,1243846,1254542,856667,1030040,1022762,1232857,1167274,1147113,1013558,1273156,1195750,1098060,1060739,917245,1081406,1013270,1050590,862632,1179411,1202131,1126482,898344,1382227,1552863,1664392,1709883,1770378,1878738,1672119,1594970,1368985,1973742,1980019,1356384,1921304,1410181,1518906,1418672,1812635,1516256,1999235,1745551,1944784,1710382,1585054,1552603,1642412,1595959,1417381,1517196,1423291,1951527,1967620,1355194,1998349,1684672,1472123,1647790,1695019,1889178,1476691,1624170,1914919,1770342,1808141,1755236,1499134,1920760,1464796,1576663,1415154,1594392,1441151,1489924,1702763,1613723,1742533,1656882,1935440,1512601,1554797,1631875,1556321,1968259,1755726,1797421,1997264,1546879,1767776,1954076,1704526,1351144,1902736,1735918,1533445,1407800,1998147,1390742,1646638,1692910,1928544,1577851,1532637,1725950,1886604,1530197,1690148,1473501,1939533,1891427,1343109,1731310,1612524,1682582,1277671
tax_provision,-69538,-67355,-75659,-85769,-73783,-75728,-80601,-82771,-79117,-88847,-70898,"-89,114.00","-79,428.00",-63482,-62900,-84174,-93319,-80243,-84137,-74818,-85606,-69965,-64784,-69160,-71957,-82244,-66803,-68767,-68131,-84972,-73149,-82289,-62730,-93425,-74521,-89035,-79737,-63467,-91608,-86685,-77056,-92389,-75372,-77254,-70669,-68089,-93651,-76218,-89962,-76631,-87165,-63774,-93989,-93596,-63014,-69155,-91766,-65516,-75197,-90377,-66808,-84810,-62768,-88558,-85693,-86841,-73236,-81961,-79031,-85383,-75498,-84775,-68926,-75709,-69043,-67132,-91657,-82992,-68580,-67016,-65893,-68072,-86013,-67846,-91233,-64099,-77799,-83371,-67044,-88088,-141419,-41771,-32417,-43665,-35372,-38797,-34770,-36109,-31629,-34555,-31863,-39710,-39699,-35891,-35673,-34293,-42901,-29563,-33906,-30429,-35647,-36625,-35085,-30705,-29769,-42635,-40550,-32291,-43356,-35563,-31077,-33030,-35241,-37211,-39694,-35112,-41520,-42135,-35083,-38994,-43220,-42901,-32320,-37779,-38244,-38552,-37689,-35845,-35911,-40452,-38477,-42009,-32422,-43182,-43151,-30096,-40465,-41776,-41634,-41180,-36684,-38399,-41604,-29546,-33870,-29951,-41903,-29727,-43339,-31931,-34252,-41843,-33028,-44202,-39528,-29890,-35129,-33644,-32511,-38419,-32153,-38240,-36713,-43390,-37564,-34451,-39886,-36028,-40519,-31722,-36841,-42091,-34161,-36138,-40820,-43140,-30587,-35661,-36406,-34457,-35680,-43167,-43289,-36793,-33611,-31959,-38077,-30737,-40251,-41263,-29623,-34164,-41087,-36668,-36980,-34836,-42530,-34323,-33755,-31451,-39902,-31551,-36616,-42419,-42352,-30163,-41336,-34467,-35568,-32862,-37098,-34616,-29461,-33216,-35393,-38744,-35979,-38938,-30871,-41622,-37732,-36297,-33294,-36532,-32157,-36965,-43179,-30379,-34669,-35774,-32677,-42424,-41083,-36557,-37689,-30929,-36750,-36195,-30211,-34844,-36671,-35444,-34017,-31395,-35203,-42460,-30930,-32448,-40778,-43071,-33342,-32181,-42323,-38487,-42184,-40835,-36782,-30170,-36430,-30192,-37514,-31230,-41239,-38841,-45369
other_income_expense,-4303428,-5002715,-5049685,-4546880,-3972094,-3714451,-5359758,-4403803,-4086827,-4932708,-5239263,"-4,927,044.00","-5,219,071.00",-4800148,-4841753,-3931253,-4706822,-3797401,-4443543,-4258422,-4008113,-5116728,-5515506,-5200445,-4706477,-3925372,-3961629,-5424456,-3875908,-5215946,-5136892,-3955766,-5217226,-4562942,-4486336,-4897953,-4596445,-4795088,-4099313,-4227719,-4293297,-4680030,-4861338,-4694671,-4410900,-3938885,-4389452,-3798030,-5172479,-4374300,-4960230,-4312451,-4861155,-3721343,-5178408,-5536301,-4794864,-4492301,-4787513,-4819776,-4159130,-4117047,-3960630,-5509101,-4539528,-4508328,-3732744,-3746516,-5113911,-3820520,-4842585,-5186766,-5023762,-5258227,-4921007,-5115794,-5070723,-5205953,-4303764,-3808067,-5367478,-4176129,-4792566,-5132752,-4050083,-5466270,-4273605,-4774665,-4144149,-4728389,-5337408,-11200,-12540,-9617,-12075,-12562,-13298,-11056,-12854,-11543,-12245,-11776,-9603,-9354,-9516,-12437,-13723,-13505,-9229,-11263,-10817,-10805,-10820,-9878,-12930,-10301,-12434,-12653,-10195,-10873,-9312,-11414,-9170,-11377,-12777,-10918,-12621,-13099,-13415,-10048,-10992,-9603,-12003,-10488,-12086,-11203,-10799,-10097,-10674,-11606,-11266,-13139,-12574,-9549,-12557,-9816,-10808,-10634,-11545,-13518,-12129,-10150,-10507,-9902,-10667,-10411,-11078,-11486,-13600,-11046,-10398,-10585,-9365,-9392,-10162,-11454,-10534,-10987,-9571,-9377,-13139,-9294,-13494,-10868,-11846,-10943,-13308,-10751,-9243,-12169,-12974,-13271,-29089,-1149842,-1143041,-1005082,-1059607,-949597,-996617,-994889,-948706,-906113,-1268346,-1038668,-1056521,-979460,-1064396,-887646,-1057536,-950624,-1186504,-996140,-913575,-1173788,-976818,-1012413,-913550,-1276022,-935853,-1045337,-887066,-1101283,-906509,-953103,-1199057,-1138467,-1015591,-1230789,-934993,-1127007,-937624,-1189240,-1254628,-1167678,-1280330,-1073325,-1076875,-1058834,-1073049,-1200961,-1025129,-1129927,-1094017,-1103091,-935887,-880678,-1088211,-1187367,-1140040,-1071753,-1028068,-1014347,-1198989,-1153012,-874181,-951690,-913088,-1098022,-1135626,-1121739,-1123920,-967547,-1133821,-1156528,-1109353,-1015230,-1209209,-1142660,-1261094,-985927,-1187811,-1158469,-1039190,-985640,-926006,-999922,-1109857,-904822,-860128,-1073377,-1199176,-1210180,-990986,-911687,-2144198
other_non_operating_income_expenses,75224,59177,83940,83963,61068,71845,65798,71266,73146,70750,57291,"68,684.00","57,358.00",65820,61617,66326,65601,60859,72756,79369,65775,72285,58634,62359,62560,59016,69842,66168,82217,67427,85492,60957,61501,74887,69491,79520,80015,76705,71455,73854,58840,72517,60913,74420,67046,82365,64948,73706,65231,57355,81836,58990,75675,61634,70435,72386,69726,61117,57394,64849,57613,72697,57731,59333,71229,60559,79345,80405,74558,85462,69669,64973,61260,67055,75555,69721,68863,75669,68698,78683,78530,77722,61933,72389,80943,61063,64084,61979,75942,70155,266831,176000,193324,135676,168583,150554,190965,141284,166523,185798,172732,190297,147323,167493,132525,159193,143765,145048,137612,150188,187227,188365,139079,140762,135714,168271,158661,173523,173445,153650,177896,190465,173198,135280,140577,176172,172210,166798,165256,169799,172566,175196,160325,178755,190356,170961,160247,190172,183414,131938,153842,166823,178140,181388,184057,176955,133923,150173,165711,169546,187005,161783,188283,131232,150873,150232,165708,142876,174315,161815,147276,133382,185172,156951,157007,135159,173746,158203,165834,133043,156327,139883,174411,157486,139587,176579,183660,156151,163594,148153,183195,184160,191700,85194,64908,82892,77701,70828,60896,75246,69152,82941,61066,81405,63667,72616,61855,88043,62808,63071,83872,85139,74493,86239,86346,88660,61231,61565,85751,63876,65089,69439,60513,75768,82118,84058,61346,80318,71029,76241,84283,69470,63241,61576,86724,65459,70570,90208,86557,66519,75083,85098,88544,77194,66835,68833,65962,82543,66304,84987,74739,80451,70770,81508,87110,90213,88426,89692,86253,74627,77082,77427,87089,69605,61129,63682,78826,86836,68194,66023,60448,67602,67021,61446,65329,73211,76860,85123,71786,73013,89281,80986,83684,60535,110173
special_income_charges,-6283549,-5938779,-5030053,-5776491,-6163793,-5022901,-5494907,-4971711,-6395434,-5593735,-5372738,"-4,972,864.00","-4,673,152.00",-6031760,-5318991,-5936818,-5793988,-4780401,-5925249,-5132731,-4884885,-6569912,-5393950,-6246407,-5091859,-5629744,-6404622,-6270012,-6150812,-4546993,-5983228,-5697199,-6223378,-6435816,-5206290,-5283998,-6095754,-6057611,-6075686,-6646402,-6670000,-6230105,-6281678,-5468757,-6502166,-5959588,-5126072,-5825029,-5481909,-6015576,-5682939,-6150709,-4748390,-5354970,-6297669,-4665048,-5779336,-5408341,-6505637,-6191483,-6264772,-5111402,-6616089,-5143119,-5340795,-5957580,-4833367,-5538955,-4728282,-5075108,-5065483,-6601369,-5279679,-6177783,-6231538,-4999493,-4541607,-5222689,-6424349,-4768384,-4632558,-5916129,-4806004,-5355776,-4910461,-6216711,-5543495,-5492914,-4414956,-4851470,-456828,25135,18299,26405,17677,20971,19795,23222,23586,26154,18461,22957,18472,24520,20409,18128,20318,19024,26472,24616,23014,20599,25744,18307,24659,20738,22422,25948,26420,21737,21652,20019,20060,22020,18175,21361,21568,23750,19510,26478,25314,19788,25733,20344,25271,19024,26480,19052,19825,18054,25606,18920,20095,19422,21641,24949,20914,19386,19688,22311,18586,26458,18656,20583,25787,18961,25813,26396,21125,25432,24808,19112,23771,26326,20823,20013,20717,23834,21600,18584,19564,25821,21867,17718,23562,25391,23321,21860,26306,22596,20260,17980,27800,-1006023,-1199636,-976953,-941910,-1043565,-825423,-1156965,-1135694,-954221,-1045797,-1062936,-847746,-1123870,-906542,-1146089,-1006821,-1040745,-1197412,-1107418,-929210,-1170569,-860729,-934179,-1195007,-835135,-949123,-1000323,-814778,-1036991,-949123,-961546,-1044092,-1037168,-932218,-1031076,-807002,-892011,-894623,-814292,-896306,-1005285,-1122220,-1040400,-1145403,-1143170,-1003718,-963225,-1131514,-1070687,-1053610,-931517,-1048748,-1081981,-819021,-884909,-1003321,-838222,-927335,-1199120,-932847,-1021334,-1145532,-842213,-1192038,-855939,-866680,-1098304,-1093459,-906867,-883748,-885723,-1100195,-1010421,-984868,-812597,-838243,-944421,-918038,-985740,-999363,-1049819,-973790,-904148,-960585,-1023509,-1104911,-1009473,-803749,-1137209,-1128129,-1119492,-1554693
